C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/09/12,07:00:02,0000000396949538,DEMAND,0000000396949537
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",NSW1,151.378,0.6,SATELLITE,"2023/09/12 06:50:21"
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",QLD1,230.667,0.6,SATELLITE,"2023/09/12 06:50:21"
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",QLDC,20.01,0.6,SATELLITE,"2023/09/12 06:50:21"
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",QLDN,11.597,0.6,SATELLITE,"2023/09/12 06:50:21"
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",QLDS,199.06,0.6,SATELLITE,"2023/09/12 06:50:21"
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",SA1,0,0.6,SATELLITE,"2023/09/12 06:50:21"
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",TAS1,1.205,0.6,SATELLITE,"2023/09/12 06:50:21"
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",TASN,0.524,0.6,SATELLITE,"2023/09/12 06:50:21"
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",TASS,0.68,0.6,SATELLITE,"2023/09/12 06:50:21"
D,ROOFTOP,ACTUAL,2,"2023/09/12 06:30:00",VIC1,8.785,0.6,SATELLITE,"2023/09/12 06:50:21"
C,"END OF REPORT",13
