C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/03/29,08:00:03,0000000383754437,DEMAND,0000000383754436
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",NSW1,353.507,0.6,SATELLITE,"2023/03/29 07:50:25"
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",QLD1,351.271,0.6,SATELLITE,"2023/03/29 07:50:25"
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",QLDC,80.078,0.6,SATELLITE,"2023/03/29 07:50:25"
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",QLDN,95.461,0.6,SATELLITE,"2023/03/29 07:50:25"
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",QLDS,175.732,0.6,SATELLITE,"2023/03/29 07:50:25"
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",SA1,67.907,0.6,SATELLITE,"2023/03/29 07:50:25"
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",TAS1,18.038,0.6,SATELLITE,"2023/03/29 07:50:25"
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",TASN,8.577,0.6,SATELLITE,"2023/03/29 07:50:25"
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",TASS,9.461,0.6,SATELLITE,"2023/03/29 07:50:25"
D,ROOFTOP,ACTUAL,2,"2023/03/29 07:30:00",VIC1,129.935,0.6,SATELLITE,"2023/03/29 07:50:25"
C,"END OF REPORT",13
