C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/04/19,12:00:03,0000000385252497,DEMAND,0000000385252496
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",NSW1,2783.926,0.6,SATELLITE,"2023/04/19 11:50:25"
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",QLD1,2014.097,0.6,SATELLITE,"2023/04/19 11:50:25"
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",QLDC,296.328,0.6,SATELLITE,"2023/04/19 11:50:25"
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",QLDN,324.504,0.6,SATELLITE,"2023/04/19 11:50:25"
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",QLDS,1393.264,0.6,SATELLITE,"2023/04/19 11:50:25"
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",SA1,802.342,0.6,SATELLITE,"2023/04/19 11:50:25"
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",TAS1,79.61,0.6,SATELLITE,"2023/04/19 11:50:25"
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",TASN,51.525,0.6,SATELLITE,"2023/04/19 11:50:25"
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",TASS,28.085,0.6,SATELLITE,"2023/04/19 11:50:25"
D,ROOFTOP,ACTUAL,2,"2023/04/19 11:30:00",VIC1,1137.454,0.6,SATELLITE,"2023/04/19 11:50:25"
C,"END OF REPORT",13
