C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/06/19,11:00:01,0000000389946181,DEMAND,0000000389946181
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",NSW1,2156.981,1,MEASUREMENT,"2023/06/19 10:49:14"
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",QLD1,2506.334,1,MEASUREMENT,"2023/06/19 10:49:14"
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",QLDC,215.554,1,MEASUREMENT,"2023/06/19 10:49:14"
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",QLDN,401.289,1,MEASUREMENT,"2023/06/19 10:49:14"
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",QLDS,1889.49,1,MEASUREMENT,"2023/06/19 10:49:14"
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",SA1,501.809,1,MEASUREMENT,"2023/06/19 10:49:14"
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",TAS1,76.914,1,MEASUREMENT,"2023/06/19 10:49:14"
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",TASN,45.524,1,MEASUREMENT,"2023/06/19 10:49:14"
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",TASS,31.448,1,MEASUREMENT,"2023/06/19 10:49:14"
D,ROOFTOP,ACTUAL,2,"2023/06/19 10:30:00",VIC1,498.171,1,MEASUREMENT,"2023/06/19 10:49:14"
C,"END OF REPORT",13
