C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/16,14:30:02,0000000408564093,DEMAND,0000000408564093
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",NSW1,1781.313,1,MEASUREMENT,"2024/01/16 14:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",QLD1,2357.975,1,MEASUREMENT,"2024/01/16 14:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",QLDC,243.227,1,MEASUREMENT,"2024/01/16 14:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",QLDN,401.143,1,MEASUREMENT,"2024/01/16 14:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",QLDS,1713.605,1,MEASUREMENT,"2024/01/16 14:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",SA1,1450.517,1,MEASUREMENT,"2024/01/16 14:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",TAS1,173.005,1,MEASUREMENT,"2024/01/16 14:19:09"
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",TASN,77.781,1,MEASUREMENT,"2024/01/16 14:19:10"
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",TASS,95.061,1,MEASUREMENT,"2024/01/16 14:19:10"
D,ROOFTOP,ACTUAL,2,"2024/01/16 14:00:00",VIC1,2780.812,1,MEASUREMENT,"2024/01/16 14:19:10"
C,"END OF REPORT",13
