C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/04/22,16:00:02,0000000385495707,DEMAND,0000000385495707
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",NSW1,1056.822,1,MEASUREMENT,"2023/04/22 15:49:30"
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",QLD1,1159.041,1,MEASUREMENT,"2023/04/22 15:49:31"
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",QLDC,122,1,MEASUREMENT,"2023/04/22 15:49:31"
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",QLDN,243.88,1,MEASUREMENT,"2023/04/22 15:49:31"
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",QLDS,793.161,1,MEASUREMENT,"2023/04/22 15:49:31"
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",SA1,883.901,1,MEASUREMENT,"2023/04/22 15:49:31"
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",TAS1,63.133,1,MEASUREMENT,"2023/04/22 15:49:31"
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",TASN,41.317,1,MEASUREMENT,"2023/04/22 15:49:31"
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",TASS,21.905,1,MEASUREMENT,"2023/04/22 15:49:31"
D,ROOFTOP,ACTUAL,2,"2023/04/22 15:30:00",VIC1,984.229,1,MEASUREMENT,"2023/04/22 15:49:31"
C,"END OF REPORT",13
