C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/02/17,17:30:02,0000000411363349,DEMAND,0000000411363348
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",NSW1,1151.977,0.6,SATELLITE,"2024/02/17 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",QLD1,1131.225,0.6,SATELLITE,"2024/02/17 17:20:21"
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",QLDC,86.054,0.6,SATELLITE,"2024/02/17 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",QLDN,126.926,0.6,SATELLITE,"2024/02/17 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",QLDS,918.244,0.6,SATELLITE,"2024/02/17 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",SA1,864.525,0.6,SATELLITE,"2024/02/17 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",TAS1,86.475,0.6,SATELLITE,"2024/02/17 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",TASN,50.195,0.6,SATELLITE,"2024/02/17 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",TASS,36.281,0.6,SATELLITE,"2024/02/17 17:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/17 17:00:00",VIC1,1321.704,0.6,SATELLITE,"2024/02/17 17:20:22"
C,"END OF REPORT",13
