C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/04/09,18:00:03,0000000384540740,DEMAND,0000000384540740
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",NSW1,138.773,1,MEASUREMENT,"2023/04/09 17:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",QLD1,157.339,1,MEASUREMENT,"2023/04/09 17:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",QLDC,14.703,1,MEASUREMENT,"2023/04/09 17:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",QLDN,66.675,1,MEASUREMENT,"2023/04/09 17:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",QLDS,75.961,1,MEASUREMENT,"2023/04/09 17:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",SA1,151.456,1,MEASUREMENT,"2023/04/09 17:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",TAS1,7.138,1,MEASUREMENT,"2023/04/09 17:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",TASN,4.364,1,MEASUREMENT,"2023/04/09 17:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",TASS,2.781,1,MEASUREMENT,"2023/04/09 17:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/09 17:30:00",VIC1,86.28,1,MEASUREMENT,"2023/04/09 17:49:29"
C,"END OF REPORT",13
