C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/10,17:00:03,0000000408073875,DEMAND,0000000408073875
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",NSW1,1873.632,1,MEASUREMENT,"2024/01/10 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",QLD1,1429.798,1,MEASUREMENT,"2024/01/10 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",QLDC,82.767,1,MEASUREMENT,"2024/01/10 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",QLDN,176.046,1,MEASUREMENT,"2024/01/10 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",QLDS,1170.984,1,MEASUREMENT,"2024/01/10 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",SA1,1183.838,1,MEASUREMENT,"2024/01/10 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",TAS1,133.509,1,MEASUREMENT,"2024/01/10 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",TASN,69.538,1,MEASUREMENT,"2024/01/10 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",TASS,63.967,1,MEASUREMENT,"2024/01/10 16:49:14"
D,ROOFTOP,ACTUAL,2,"2024/01/10 16:30:00",VIC1,1929.966,1,MEASUREMENT,"2024/01/10 16:49:14"
C,"END OF REPORT",13
