C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/03/01,15:30:04,0000000412519362,DEMAND,0000000412519362
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",NSW1,2303.859,1,MEASUREMENT,"2024/03/01 15:19:15"
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",QLD1,3188.167,1,MEASUREMENT,"2024/03/01 15:19:15"
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",QLDC,319.974,1,MEASUREMENT,"2024/03/01 15:19:15"
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",QLDN,525.584,1,MEASUREMENT,"2024/03/01 15:19:15"
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",QLDS,2342.609,1,MEASUREMENT,"2024/03/01 15:19:15"
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",SA1,1352.827,1,MEASUREMENT,"2024/03/01 15:19:16"
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",TAS1,142.782,1,MEASUREMENT,"2024/03/01 15:19:16"
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",TASN,73.688,0.7,MEASUREMENT,"2024/03/01 15:19:16"
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",TASS,69.084,1,MEASUREMENT,"2024/03/01 15:19:16"
D,ROOFTOP,ACTUAL,2,"2024/03/01 15:00:00",VIC1,2332.857,1,MEASUREMENT,"2024/03/01 15:19:16"
C,"END OF REPORT",13
