C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/15,09:00:02,0000000408457403,DEMAND,0000000408457403
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",NSW1,898.08,1,MEASUREMENT,"2024/01/15 08:49:15"
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",QLD1,1690.372,1,MEASUREMENT,"2024/01/15 08:49:15"
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",QLDC,202.676,1,MEASUREMENT,"2024/01/15 08:49:16"
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",QLDN,143.226,1,MEASUREMENT,"2024/01/15 08:49:16"
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",QLDS,1344.47,1,MEASUREMENT,"2024/01/15 08:49:16"
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",SA1,673.121,1,MEASUREMENT,"2024/01/15 08:49:16"
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",TAS1,97.425,1,MEASUREMENT,"2024/01/15 08:49:16"
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",TASN,59.983,1,MEASUREMENT,"2024/01/15 08:49:16"
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",TASS,37.557,1,MEASUREMENT,"2024/01/15 08:49:16"
D,ROOFTOP,ACTUAL,2,"2024/01/15 08:30:00",VIC1,1398.228,1,MEASUREMENT,"2024/01/15 08:49:16"
C,"END OF REPORT",13
