C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/12/02,19:30:03,0000000404214005,DEMAND,0000000404214005
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",NSW1,26.254,1,MEASUREMENT,"2023/12/02 19:19:13"
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",QLD1,0.05,1,MEASUREMENT,"2023/12/02 19:19:13"
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",QLDC,0,1,MEASUREMENT,"2023/12/02 19:19:13"
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",QLDN,0.03,1,MEASUREMENT,"2023/12/02 19:19:13"
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",QLDS,0.021,1,MEASUREMENT,"2023/12/02 19:19:13"
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",SA1,138.76,1,MEASUREMENT,"2023/12/02 19:19:13"
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",TAS1,7.227,1,MEASUREMENT,"2023/12/02 19:19:13"
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",TASN,3.485,1,MEASUREMENT,"2023/12/02 19:19:13"
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",TASS,3.739,1,MEASUREMENT,"2023/12/02 19:19:13"
D,ROOFTOP,ACTUAL,2,"2023/12/02 19:00:00",VIC1,82.293,1,MEASUREMENT,"2023/12/02 19:19:13"
C,"END OF REPORT",13
