C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/11/08,11:30:02,0000000401783945,DEMAND,0000000401783945
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",NSW1,3307.101,0.7,MEASUREMENT,"2023/11/08 11:19:05"
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",QLD1,3174.936,0.7,MEASUREMENT,"2023/11/08 11:19:05"
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",QLDC,268.268,1,MEASUREMENT,"2023/11/08 11:19:05"
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",QLDN,537.874,0.7,MEASUREMENT,"2023/11/08 11:19:05"
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",QLDS,2368.795,0.7,MEASUREMENT,"2023/11/08 11:19:05"
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",SA1,1271.093,0.7,MEASUREMENT,"2023/11/08 11:19:05"
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",TAS1,175.743,1,MEASUREMENT,"2023/11/08 11:19:05"
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",TASN,76.791,0.7,MEASUREMENT,"2023/11/08 11:19:05"
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",TASS,98.775,1,MEASUREMENT,"2023/11/08 11:19:05"
D,ROOFTOP,ACTUAL,2,"2023/11/08 11:00:00",VIC1,2738.678,0.7,MEASUREMENT,"2023/11/08 11:19:05"
C,"END OF REPORT",13
