C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/11/11,08:00:02,0000000402040906,DEMAND,0000000402040905
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",NSW1,2075.124,0.6,SATELLITE,"2023/11/11 07:50:27"
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",QLD1,1597.775,0.6,SATELLITE,"2023/11/11 07:50:27"
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",QLDC,178.554,0.6,SATELLITE,"2023/11/11 07:50:27"
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",QLDN,232.475,0.6,SATELLITE,"2023/11/11 07:50:27"
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",QLDS,1186.746,0.6,SATELLITE,"2023/11/11 07:50:27"
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",SA1,458.48,0.6,SATELLITE,"2023/11/11 07:50:27"
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",TAS1,53.444,0.6,SATELLITE,"2023/11/11 07:50:27"
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",TASN,29.321,0.6,SATELLITE,"2023/11/11 07:50:27"
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",TASS,24.123,0.6,SATELLITE,"2023/11/11 07:50:27"
D,ROOFTOP,ACTUAL,2,"2023/11/11 07:30:00",VIC1,1162.625,0.6,SATELLITE,"2023/11/11 07:50:27"
C,"END OF REPORT",13
