C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/07/07,08:30:02,0000000391361312,DEMAND,0000000391361312
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",NSW1,266.461,1,MEASUREMENT,"2023/07/07 08:19:23"
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",QLD1,543.344,1,MEASUREMENT,"2023/07/07 08:19:23"
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",QLDC,49.673,1,MEASUREMENT,"2023/07/07 08:19:23"
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",QLDN,57.853,1,MEASUREMENT,"2023/07/07 08:19:23"
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",QLDS,435.818,1,MEASUREMENT,"2023/07/07 08:19:23"
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",SA1,0.813,1,MEASUREMENT,"2023/07/07 08:19:23"
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",TAS1,0.284,1,MEASUREMENT,"2023/07/07 08:19:23"
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",TASN,0.122,1,MEASUREMENT,"2023/07/07 08:19:23"
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",TASS,0.161,1,MEASUREMENT,"2023/07/07 08:19:23"
D,ROOFTOP,ACTUAL,2,"2023/07/07 08:00:00",VIC1,13.83,1,MEASUREMENT,"2023/07/07 08:19:23"
C,"END OF REPORT",13
