C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/09/17,07:30:02,0000000397385779,DEMAND,0000000397385778
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",NSW1,624.283,0.6,SATELLITE,"2023/09/17 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",QLD1,677.607,0.6,SATELLITE,"2023/09/17 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",QLDC,65.303,0.6,SATELLITE,"2023/09/17 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",QLDN,61.61,0.6,SATELLITE,"2023/09/17 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",QLDS,550.694,0.6,SATELLITE,"2023/09/17 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",SA1,32.899,0.6,SATELLITE,"2023/09/17 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",TAS1,14.738,0.6,SATELLITE,"2023/09/17 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",TASN,8.207,0.6,SATELLITE,"2023/09/17 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",TASS,6.532,0.6,SATELLITE,"2023/09/17 07:20:23"
D,ROOFTOP,ACTUAL,2,"2023/09/17 07:00:00",VIC1,196.5,0.6,SATELLITE,"2023/09/17 07:20:23"
C,"END OF REPORT",13
