C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/07/18,08:30:02,0000000392307309,DEMAND,0000000392307309
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",NSW1,251.365,1,MEASUREMENT,"2023/07/18 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",QLD1,360.184,1,MEASUREMENT,"2023/07/18 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",QLDC,39.651,1,MEASUREMENT,"2023/07/18 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",QLDN,51.402,1,MEASUREMENT,"2023/07/18 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",QLDS,269.131,1,MEASUREMENT,"2023/07/18 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",SA1,1.547,1,MEASUREMENT,"2023/07/18 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",TAS1,1.136,1,MEASUREMENT,"2023/07/18 08:19:18"
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",TASN,0.533,1,MEASUREMENT,"2023/07/18 08:19:19"
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",TASS,0.602,1,MEASUREMENT,"2023/07/18 08:19:19"
D,ROOFTOP,ACTUAL,2,"2023/07/18 08:00:00",VIC1,27.138,1,MEASUREMENT,"2023/07/18 08:19:19"
C,"END OF REPORT",13
