C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/02/25,08:30:02,0000000381546856,DEMAND,0000000381546855
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",NSW1,1634.914,0.6,SATELLITE,"2023/02/25 08:20:23"
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",QLD1,1481.595,0.6,SATELLITE,"2023/02/25 08:20:23"
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",QLDC,150.304,0.6,SATELLITE,"2023/02/25 08:20:23"
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",QLDN,165.206,0.6,SATELLITE,"2023/02/25 08:20:23"
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",QLDS,1166.084,0.6,SATELLITE,"2023/02/25 08:20:23"
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",SA1,83.061,0.6,SATELLITE,"2023/02/25 08:20:23"
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",TAS1,60.925,0.6,SATELLITE,"2023/02/25 08:20:23"
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",TASN,32.464,0.6,SATELLITE,"2023/02/25 08:20:23"
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",TASS,28.461,0.6,SATELLITE,"2023/02/25 08:20:23"
D,ROOFTOP,ACTUAL,2,"2023/02/25 08:00:00",VIC1,560.251,0.6,SATELLITE,"2023/02/25 08:20:23"
C,"END OF REPORT",13
