C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/08/04,12:00:02,0000000393733264,DEMAND,0000000393733264
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",NSW1,2852.421,0.7,MEASUREMENT,"2023/08/04 11:49:06"
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",QLD1,2533.31,1,MEASUREMENT,"2023/08/04 11:49:06"
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",QLDC,278.717,0.7,MEASUREMENT,"2023/08/04 11:49:06"
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",QLDN,413.904,1,MEASUREMENT,"2023/08/04 11:49:06"
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",QLDS,1840.69,1,MEASUREMENT,"2023/08/04 11:49:07"
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",SA1,805.093,0.7,MEASUREMENT,"2023/08/04 11:49:07"
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",TAS1,19.422,1,MEASUREMENT,"2023/08/04 11:49:07"
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",TASN,9.547,1,MEASUREMENT,"2023/08/04 11:49:07"
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",TASS,9.867,1,MEASUREMENT,"2023/08/04 11:49:07"
D,ROOFTOP,ACTUAL,2,"2023/08/04 11:30:00",VIC1,445.052,1,MEASUREMENT,"2023/08/04 11:49:07"
C,"END OF REPORT",13
