C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/11/08,18:30:02,0000000401810482,DEMAND,0000000401810481
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",NSW1,216.216,0.6,SATELLITE,"2023/11/08 18:20:21"
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",QLD1,137.927,0.6,SATELLITE,"2023/11/08 18:20:22"
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",QLDC,12.119,0.6,SATELLITE,"2023/11/08 18:20:22"
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",QLDN,37.409,0.6,SATELLITE,"2023/11/08 18:20:22"
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",QLDS,88.4,0.6,SATELLITE,"2023/11/08 18:20:22"
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",SA1,327.266,0.6,SATELLITE,"2023/11/08 18:20:22"
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",TAS1,14.786,0.6,SATELLITE,"2023/11/08 18:20:22"
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",TASN,11.897,0.6,SATELLITE,"2023/11/08 18:20:22"
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",TASS,2.889,0.6,SATELLITE,"2023/11/08 18:20:22"
D,ROOFTOP,ACTUAL,2,"2023/11/08 18:00:00",VIC1,213.089,0.6,SATELLITE,"2023/11/08 18:20:22"
C,"END OF REPORT",13
