C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/03/08,12:00:02,0000000413129013,DEMAND,0000000413129013
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",NSW1,3672.174,1,MEASUREMENT,"2024/03/08 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",QLD1,3383.994,1,MEASUREMENT,"2024/03/08 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",QLDC,277.868,1,MEASUREMENT,"2024/03/08 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",QLDN,449.174,1,MEASUREMENT,"2024/03/08 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",QLDS,2656.952,1,MEASUREMENT,"2024/03/08 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",SA1,1330.795,1,MEASUREMENT,"2024/03/08 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",TAS1,188.526,1,MEASUREMENT,"2024/03/08 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",TASN,90.342,0.7,MEASUREMENT,"2024/03/08 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",TASS,98.084,1,MEASUREMENT,"2024/03/08 11:49:11"
D,ROOFTOP,ACTUAL,2,"2024/03/08 11:30:00",VIC1,2683.29,1,MEASUREMENT,"2024/03/08 11:49:11"
C,"END OF REPORT",13
