C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/08/10,09:30:02,0000000394212301,DEMAND,0000000394212300
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",NSW1,1374.705,0.6,SATELLITE,"2023/08/10 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",QLD1,1826.248,0.6,SATELLITE,"2023/08/10 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",QLDC,178.523,0.6,SATELLITE,"2023/08/10 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",QLDN,278.091,0.6,SATELLITE,"2023/08/10 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",QLDS,1369.634,0.6,SATELLITE,"2023/08/10 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",SA1,321.384,0.6,SATELLITE,"2023/08/10 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",TAS1,32.245,0.6,SATELLITE,"2023/08/10 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",TASN,18.492,0.6,SATELLITE,"2023/08/10 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",TASS,13.753,0.6,SATELLITE,"2023/08/10 09:20:23"
D,ROOFTOP,ACTUAL,2,"2023/08/10 09:00:00",VIC1,661.887,0.6,SATELLITE,"2023/08/10 09:20:23"
C,"END OF REPORT",13
