C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2024/01/10,07:30:02,0000000408039024,DEMAND,0000000408039024
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",NSW1,737.332,1,MEASUREMENT,"2024/01/10 07:19:17"
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",QLD1,527.979,1,MEASUREMENT,"2024/01/10 07:19:17"
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",QLDC,97.886,1,MEASUREMENT,"2024/01/10 07:19:17"
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",QLDN,63.618,1,MEASUREMENT,"2024/01/10 07:19:17"
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",QLDS,366.474,1,MEASUREMENT,"2024/01/10 07:19:17"
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",SA1,139.127,1,MEASUREMENT,"2024/01/10 07:19:17"
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",TAS1,49.376,1,MEASUREMENT,"2024/01/10 07:19:17"
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",TASN,22.289,1,MEASUREMENT,"2024/01/10 07:19:17"
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",TASS,27.042,1,MEASUREMENT,"2024/01/10 07:19:17"
D,ROOFTOP,ACTUAL,2,"2024/01/10 07:00:00",VIC1,559.708,1,MEASUREMENT,"2024/01/10 07:19:17"
C,"END OF REPORT",13
