C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/02/13,16:30:02,0000000411011503,DEMAND,0000000411011502
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",NSW1,1931.541,0.6,SATELLITE,"2024/02/13 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",QLD1,1386.534,0.6,SATELLITE,"2024/02/13 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",QLDC,86.367,0.6,SATELLITE,"2024/02/13 16:20:21"
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",QLDN,410.724,0.6,SATELLITE,"2024/02/13 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",QLDS,889.443,0.6,SATELLITE,"2024/02/13 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",SA1,1286.041,0.6,SATELLITE,"2024/02/13 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",TAS1,46.841,0.6,SATELLITE,"2024/02/13 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",TASN,32.002,0.6,SATELLITE,"2024/02/13 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",TASS,14.839,0.6,SATELLITE,"2024/02/13 16:20:22"
D,ROOFTOP,ACTUAL,2,"2024/02/13 16:00:00",VIC1,1141.777,0.6,SATELLITE,"2024/02/13 16:20:22"
C,"END OF REPORT",13
